SNL_5MW_D_Tapered_Tower,,,,# Shear webs ->,0,# of stacks ->,2,Stack ID ->,1,2,Segment ID ->,1,10,DP Types,1,2,1,2,,,,,,,,,,,,,,,,,,,,
,,,,,,# of segments ->,2,Material ID ->,1,2,,,,,,,first entry in the CSV list is the exterior blade surface stack,,,,,,,,,,,,,,,,,,,,,
Sta.#,Blade span (m),Airfoil Shape File,TE Type,Twist (deg),Chord,xoffset,aero center,Section Label,Uni,Skin,-blank-,HP,LP,,,,HP,LP,,,,,,,,,,,,,,,,,,,,
1,0,circular,round,0,5.888066637,0.5,0.25,,89.213,8.921,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
2,6.607421057,circular,round,0,5.788249614,0.5,0.25,,87.701,8.770,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
3,13.21484211,circular,round,0,5.684865834,0.5,0.25,,86.134,8.613,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
4,19.82226317,circular,round,0,5.577578504,0.5,0.25,,84.509,8.451,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
5,26.42968423,circular,round,0,5.465996871,0.5,0.25,,82.818,8.282,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
6,33.03710529,circular,round,0,5.349663569,0.5,0.25,,81.056,8.106,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
7,39.64452634,circular,round,0,5.22803793,0.5,0.25,,79.213,7.921,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
8,46.2519474,circular,round,0,5.100473576,0.5,0.25,,77.280,7.728,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
9,52.85936846,circular,round,0,4.966187737,0.5,0.25,,75.245,7.525,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
10,59.46678951,circular,round,0,4.824218239,0.5,0.25,,73.094,7.309,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
11,66.07421057,circular,round,0,4.673361587,0.5,0.25,,70.809,7.081,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
12,72.68163163,circular,round,0,4.512081003,0.5,0.25,,68.365,6.836,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
13,79.28905268,circular,round,0,4.338364592,0.5,0.25,,65.733,6.573,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
14,85.89647374,circular,round,0,4.149496455,0.5,0.25,,62.871,6.287,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
15,92.5038948,circular,round,0,3.941665819,0.5,0.25,,59.722,5.972,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
16,99.11131586,circular,round,0,3.70924955,0.5,0.25,,56.201,5.620,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
17,105.7187369,circular,round,0,3.443362258,0.5,0.25,,52.172,5.217,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
18,112.326158,circular,round,0,3.128502234,0.5,0.25,,47.402,4.740,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
19,118.933579,circular,round,0,2.732998436,0.5,0.25,,41.409,4.141,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
20,125.5410001,circular,round,0,2.169182296,0.5,0.25,,32.866,3.287,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
21,132.1484211,circular,round,0,2,0.5,0.25,,30.303,3.030,-1.0000,0.0000,1.0000,,,,"2,1,2","2,1,2",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,