,,,,# Shear webs ->,0,# of stacks ->,2,Stack ID ->,1,2,Segment ID ->,1,10,DP Types,1,2,1,2
,,,,,,# of segments ->,2,Material ID ->,1,1,,,,,,,first entry in the CSV list is the exterior blade surface stack,
Sta.#,Blade span (m),Airfoil Shape File,TE Type,Twist (deg),Chord,xoffset,aero center,Section Label,Aluminum,Aluminum,-blank-,HP,LP,,,,HP,LP
1,0,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
2,0.01,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
2,0.02,circular,round,0,0.15,0.5,0.5,,25,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
3,0.025,circular,round,0,0.0635,0.5,0.5,,11,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
4,0.25,circular,round,0,0.0635,0.5,0.5,,11,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
4,0.595,circular,round,0,0.0635,0.5,0.5,,11,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
5,0.6,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
6,0.62,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
6,0.64,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
7,0.645,circular,round,0,0.0635,0.5,0.5,,11,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
8,1.0,circular,round,0,0.0635,0.5,0.5,,11,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
8,1.215,circular,round,0,0.0635,0.5,0.5,,11,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
9,1.22,circular,round,0,0.15,0.5,0.5,,25,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
10,1.23,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
10,1.24,circular,round,0,0.15,0.5,0.5,,35,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"